City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
337,Ulaangom,MN,49.9811,92.0667,1.22,82,16,5.91,few clouds
338,Kamaishi,JP,39.2667,141.8833,55.63,90,100,26.42,overcast clouds
339,Filadelfia,US,39.9523,-75.1638,53.98,51,75,16.11,broken clouds
340,Huanren,CN,41.2647,125.3667,37.27,69,31,2.39,scattered clouds
341,Fort Nelson,CA,58.8053,-122.7002,15.39,73,75,4.61,broken clouds
342,Tan An,VN,10.5333,106.4167,84.22,75,50,5.39,scattered clouds
343,Ahuimanu,US,21.4447,-157.8378,72.36,75,40,5.75,scattered clouds
344,Cherskiy,RU,68.75,161.3,-25.1,100,97,5.12,overcast clouds
345,Pinheiro Machado,BR,-31.5783,-53.3811,60.06,87,96,12.48,overcast clouds
346,Tahoua,NE,14.8888,5.2692,96.78,3,15,23.02,dust
